Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Office Furnishings,Mason City,Small Pack,2890,Harry Berger,Corporate,Furniture,10409,"Executive Impressions 13"" Chairman Wall Clock",10/14/2016,90013,Low,50401,Central,8/22/1967,10/17/2016,Regular Air,Iowa,0.05,16,0.5,259,408,9,25
Labels,Marshalltown,Small Box,2889,Kimberly Melvin,Corporate,Office Supplies,10575,Avery 492,10/16/2015,90013,Low,50158,Central,8/21/1967,10/19/2015,Regular Air,Iowa,0.08,14,0.39,27,39,1,3
Computer Peripherals,Emporia,Small Pack,1938,Franklin Spencer,Corporate,Technology,10307,TDK 4.7GB DVD-R,10/9/2015,88873,Low,66801,Central,1/23/1958,10/12/2015,Regular Air,Kansas,0.01,1,0.41,-27,12,2,10
Chairs & Chairmats,Baltimore,Jumbo Drum,3371,Gregory Beasley,Home Office,Furniture,11230,Hon Comfortask® Task/Swivel Chairs,11/16/2014,91475,Not Specified,21215,East,12/3/1965,11/18/2014,Delivery Truck,Maryland,0.06,12,0.69,-142,1322,30,114
Binders and Binder Accessories,Radnor,Small Box,2228,Beverly Baker,Corporate,Office Supplies,11063,GBC DocuBind 200 Manual Binding Machine,7/10/2015,89155,Medium,19087,East,2/5/1970,7/10/2015,Regular Air,Pennsylvania,0.07,9,0.35,2431,3524,20,421
Tables,Mount Lebanon,Jumbo Box,1946,Teresa Wallace,Consumer,Furniture,10951,"Iceberg OfficeWorks 42"" Round Tables",7/25/2014,86332,Critical,15228,East,9/24/1960,7/25/2014,Delivery Truck,Pennsylvania,0.08,8,0.75,-292,1171,39,151
Labels,Rapid City,Small Box,2668,Carlos Hanson,Home Office,Office Supplies,10083,Self-Adhesive Removable Labels,9/2/2016,87833,Low,57701,Central,9/28/1950,9/2/2016,Regular Air,South Dakota,0.1,17,0.37,34,50,0,3
Telephones and Communication,Pomona,Small Box,576,Gordon Lyon,Corporate,Technology,11199,TimeportP7382,8/10/2015,88649,High,91767,West,11/5/1953,8/10/2015,Regular Air,California,0.1,5,0.56,-208,788,9,206
Telephones and Communication,Rapid City,Small Box,2668,Carlos Hanson,Home Office,Technology,10346,KH 688,9/5/2014,87833,Low,57701,Central,9/29/1950,9/5/2014,Regular Air,South Dakota,0.05,13,0.57,1448,2099,4,196
Storage & Organization,Southbury,Large Box,1545,Willie Boone,Corporate,Office Supplies,10451,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",9/14/2015,88490,High,6488,East,11/21/1950,9/14/2015,Regular Air,Connecticut,0.05,1,0.8,-186,306,35,279
Appliances,Southbury,Small Box,1545,Willie Boone,Corporate,Office Supplies,10238,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",9/15/2014,88490,High,6488,East,11/20/1950,9/15/2014,Regular Air,Connecticut,0.01,7,0.56,135,404,13,57
Computer Peripherals,Rochester Hills,Small Box,3344,Jim Hinson,Home Office,Technology,10886,"Fellowes Mobile Numeric Keypad, Graphite",8/22/2014,89929,High,48307,Central,9/3/1955,8/22/2014,Regular Air,Michigan,0.1,2,0.64,-106,84,4,43
Envelopes,Chesapeake,Small Box,1673,Robert Li,Small Business,Office Supplies,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",2/9/2016,86727,Not Specified,23320,South,5/14/1971,2/9/2016,Regular Air,Virginia,0.07,14,0.38,350,218,1,16
Telephones and Communication,Rochester Hills,Small Box,3344,Jim Hinson,Home Office,Technology,10423,iDENi80s,8/21/2015,89929,High,48307,Central,9/4/1955,8/21/2015,Regular Air,Michigan,0,7,0.59,-161,399,20,66
Telephones and Communication,Washington,Small Box,3342,Paul Tate,Home Office,Technology,10423,iDENi80s,2/9/2016,16806,High,20006,East,5/24/1906,2/9/2016,Regular Air,District of Columbia,0,27,0.59,-201,1540,20,66
Computer Peripherals,Wilkes Barre,Small Pack,2550,Arlene Barry Kane,Small Business,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",1/13/2016,88659,Low,18705,East,1/25/1951,1/13/2016,Regular Air,Pennsylvania,0.09,3,0.52,-14,25,2,8
Computer Peripherals,Boston,Small Pack,2548,Wayne Bass,Small Business,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",8/27/2015,4610,Low,2129,East,10/14/1901,8/27/2015,Regular Air,Massachusetts,0.09,12,0.52,-17,100,2,8
Envelopes,Wilkes Barre,Small Box,2550,Arlene Barry Kane,Small Business,Office Supplies,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",1/13/2016,88659,Low,18705,East,1/26/1951,1/13/2016,Regular Air,Pennsylvania,0.08,11,0.38,117,170,1,16
Envelopes,Boston,Small Box,2548,Wayne Bass,Small Business,Office Supplies,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",8/25/2016,4610,Low,2129,East,10/15/1901,8/25/2016,Regular Air,Massachusetts,0.08,44,0.38,203,679,1,16
Appliances,Plainview,Small Box,2021,Lindsay Hoffman,Corporate,Office Supplies,11005,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,8/4/2014,86938,Low,79072,Central,8/12/1966,8/4/2014,Regular Air,Texas,0.1,9,0.58,-137,68,9,8
Rubber Bands,West Bend,Wrap Bag,3361,Oscar Kenney,Home Office,Office Supplies,11223,Staples Metal Binder Clips,9/27/2016,91439,Low,53095,Central,9/20/1966,9/27/2016,Regular Air,Wisconsin,0.08,4,0.39,3,10,1,3
Copiers and Fax,West Bend,Large Box,3361,Oscar Kenney,Home Office,Technology,11030,Hewlett Packard LaserJet 3310 Copier,9/29/2015,91439,Low,53095,Central,9/19/1966,9/29/2015,Regular Air,Wisconsin,0.07,9,0.37,3638,5273,24,600
Office Machines,Bullhead City,Jumbo Box,2699,Marcia Greenberg,Home Office,Technology,10196,Okidata ML320 Series Turbo Dot Matrix Printers,7/20/2015,87681,Low,86442,West,3/29/1958,7/20/2015,Delivery Truck,Arizona,0.08,11,0.56,2905,4210,12,400
Appliances,Orlando,Small Box,3330,Clyde Fuller,Corporate,Office Supplies,11144,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,10/3/2015,86285,Not Specified,32839,South,8/26/1949,10/5/2015,Regular Air,Florida,0.04,9,0.59,-12,650,4,71
Pens & Art Supplies,Plainview,Wrap Bag,2562,Norma Higgins,Consumer,Office Supplies,10736,"Quartet Omega® Colored Chalk, 12/Pack",1/12/2016,86468,Not Specified,11803,East,9/4/1965,1/12/2016,Regular Air,New York,0.01,11,0.38,45,65,1,6
Binders and Binder Accessories,West Linn,Small Box,2138,Christopher Chambers,Corporate,Office Supplies,10570,ACCOHIDE® Binder by Acco,1/27/2016,86005,Medium,97068,West,4/5/1950,2/2/2016,Regular Air,Oregon,0.03,8,0.38,-57,35,5,4
Labels,West Linn,Small Box,2138,Christopher Chambers,Corporate,Office Supplies,10997,Avery 506,1/27/2016,86005,Medium,97068,West,4/6/1950,2/2/2016,Regular Air,Oregon,0.1,17,0.39,44,63,1,4
Office Machines,Coral Gables,Medium Box,1478,Jason Donovan,Consumer,Technology,11245,Canon P1-DHIII Palm Printing Calculator,8/13/2015,90745,Not Specified,33134,South,8/22/1968,8/13/2015,Regular Air,Florida,0,17,0.4,-20,324,9,18
Telephones and Communication,West Linn,Medium Box,2138,Christopher Chambers,Corporate,Technology,11113,1726 Digital Answering Machine,1/27/2016,86005,Medium,97068,West,4/7/1950,2/2/2016,Regular Air,Oregon,0.08,3,0.58,-59,54,5,21
Office Machines,Lakeville,Jumbo Box,2834,Maria Russell,Small Business,Technology,11228,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,6/26/2013,91031,Low,55044,Central,1/4/1962,6/19/2014,Delivery Truck,Minnesota,0,8,0.36,2226,3226,48,401
Computer Peripherals,Newport News,Small Pack,2063,Todd D Norris,Corporate,Technology,11049,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",10/2/2014,87151,High,23602,South,8/2/1971,10/2/2014,Regular Air,Virginia,0.08,12,0.61,250,95,4,8
Computer Peripherals,Bismarck,Small Pack,2910,Tina Jiang,Home Office,Technology,10115,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",9/21/2015,87398,Medium,58501,Central,1/25/1950,9/21/2015,Regular Air,North Dakota,0.03,16,0.79,-151,81,5,5
Envelopes,Philadelphia,Small Box,1313,Katherine Knight,Corporate,Office Supplies,10308,Staples Colored Interoffice Envelopes,10/21/2016,34657,Low,19134,East,4/27/1913,10/21/2016,Express Air,Pennsylvania,0.04,67,0.36,-76,2034,20,31
Appliances,Canton,Small Box,1816,Danielle Schneider,Consumer,Office Supplies,10767,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,10/27/2016,85993,Low,48187,Central,3/9/1959,10/27/2016,Regular Air,Michigan,0.1,2,0.6,-21,10,7,4
Appliances,Oxford,Small Box,1821,Vanessa Boyer,Consumer,Office Supplies,10767,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,7/21/2016,25830,Low,1540,East,11/26/1909,7/21/2016,Regular Air,Massachusetts,0.1,7,0.6,-21,35,7,4
Pens & Art Supplies,Boston,Small Pack,3011,Tammy Raynor,Corporate,Office Supplies,10474,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,7/3/2015,4004,Medium,2113,East,8/7/1901,7/3/2015,Regular Air,Massachusetts,0.05,64,0.56,195,2200,9,35
Pens & Art Supplies,Rochester,Small Pack,3012,Annie Livingston,Corporate,Office Supplies,10474,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,11/13/2015,86347,Medium,14609,East,11/18/1950,11/13/2015,Regular Air,New York,0.05,16,0.56,195,550,9,35
Computer Peripherals,Westerly,Small Box,1865,Diane Barnes,Corporate,Technology,10661,Motorola SB4200 Cable Modem,12/6/2016,86849,Medium,2808,East,5/14/1954,12/8/2016,Regular Air,Rhode Island,0.08,7,0.48,484,1166,20,180
Binders and Binder Accessories,Loveland,Small Box,290,Sara O'Connor,Small Business,Office Supplies,10924,Ibico Presentation Index for Binding Systems,12/15/2015,90838,High,80538,West,4/10/1955,12/15/2015,Regular Air,Colorado,0,3,0.38,-30,14,5,4
Office Machines,Carpentersville,Jumbo Drum,1250,Kara Patton,Home Office,Technology,10532,Lexmark Z25 Color Inkjet Printer,8/23/2016,87878,Critical,60110,Central,9/6/1958,8/23/2016,Delivery Truck,Illinois,0.1,15,0.37,121,1116,34,81
Pens & Art Supplies,Boston,Wrap Bag,3011,Tammy Raynor,Corporate,Office Supplies,10690,*Staples* Highlighting Markers,7/3/2015,4004,Medium,2113,East,8/6/1901,7/3/2015,Regular Air,Massachusetts,0.1,20,0.52,9,91,1,5
Pens & Art Supplies,Rochester,Wrap Bag,3012,Annie Livingston,Corporate,Office Supplies,10690,*Staples* Highlighting Markers,11/13/2015,86347,Medium,14609,East,11/17/1950,11/13/2015,Regular Air,New York,0.1,5,0.52,9,23,1,5
Storage & Organization,Burlington,Large Box,1381,Wayne Lindsay,Home Office,Office Supplies,10304,Space Solutions™ Industrial Galvanized Steel Shelving.,12/4/2014,88214,Low,5401,East,5/2/1961,12/4/2014,Regular Air,Vermont,0.1,16,0.83,-1326,1181,35,79
Binders and Binder Accessories,Canton,Small Box,1816,Danielle Schneider,Consumer,Office Supplies,10082,Recycled Premium Regency Composition Covers,10/30/2014,85993,Low,48187,Central,3/10/1959,10/30/2014,Regular Air,Michigan,0.05,4,0.36,-37,65,11,15
Binders and Binder Accessories,Oxford,Small Box,1821,Vanessa Boyer,Consumer,Office Supplies,10082,Recycled Premium Regency Composition Covers,7/24/2014,25830,Low,1540,East,11/27/1909,7/24/2014,Regular Air,Massachusetts,0.05,16,0.36,-37,260,11,15
Paper,Augusta,Small Box,1376,Bobby Harmon,Home Office,Office Supplies,10092,Xerox 1985,12/1/2016,88214,Low,4330,East,5/1/1961,12/1/2016,Regular Air,Maine,0.1,8,0.37,-43,49,5,6
Binders and Binder Accessories,Mount Prospect,Small Box,3125,Guy McDonald,Corporate,Office Supplies,11044,Peel & Stick Add-On Corner Pockets,11/30/2015,87289,Critical,60056,Central,7/22/1971,11/30/2015,Regular Air,Illinois,0.03,9,0.37,-120,23,6,2
Appliances,Olney,Small Box,3375,Jonathan Hong,Home Office,Office Supplies,10238,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",10/3/2014,87475,Medium,20832,East,11/15/1957,10/3/2014,Regular Air,Maryland,0.02,10,0.56,246,580,13,57
Office Furnishings,Mount Vernon,Medium Box,3275,Tamara Dickinson,Home Office,Furniture,10662,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",7/21/2014,86235,Medium,98273,West,2/11/1952,7/28/2014,Regular Air,Washington,0.07,4,0.67,47,360,40,92
Envelopes,Dubuque,Small Box,2151,Melinda Rogers,Corporate,Office Supplies,10651,#10 Self-Seal White Envelopes,8/8/2016,90406,Medium,52001,Central,10/30/1969,8/31/2016,Regular Air,Iowa,0.07,6,0.36,5,65,5,11
Office Machines,Southbury,Medium Box,649,Roger Meyer,Home Office,Technology,11110,Canon MP100DHII Printing Calculator,1/4/2016,91367,High,6488,East,11/29/1966,1/6/2016,Regular Air,Connecticut,0.01,10,0.37,1031,1494,14,141
Appliances,Stratford,Small Box,3398,Marc McDaniel,Corporate,Office Supplies,11161,Kensington 7 Outlet MasterPiece Power Center,1/11/2016,87538,Critical,6614,East,11/14/1961,1/11/2016,Regular Air,Connecticut,0.01,7,0.56,902,1307,1,178
Paper,Mount Vernon,Small Box,3275,Tamara Dickinson,Home Office,Office Supplies,10921,Xerox 1927,7/20/2015,86235,Medium,98273,West,2/12/1952,7/27/2015,Regular Air,Washington,0.04,1,0.4,-15,6,7,4
Storage & Organization,Boston,Small Box,1217,Billy Perry Browning,Small Business,Office Supplies,10869,Smead Adjustable Mobile File Trolley with Lockable Top,7/22/2015,41350,Medium,2112,East,12/16/1915,7/22/2015,Regular Air,Massachusetts,0.01,1,0.58,-259,423,20,419
Storage & Organization,Asbury Park,Small Box,1221,Vickie Frost,Small Business,Office Supplies,10869,Smead Adjustable Mobile File Trolley with Lockable Top,1/25/2016,90801,Medium,7712,East,3/28/1965,1/25/2016,Regular Air,New Jersey,0.01,1,0.58,-259,423,20,419
Envelopes,Webster Groves,Small Box,1807,Sarah McCormick,Home Office,Office Supplies,10836,Staples Standard Envelopes,7/20/2015,89253,Low,63119,Central,4/30/1970,7/20/2015,Regular Air,Missouri,0.1,12,0.38,44,64,1,6
Binders and Binder Accessories,Farmers Branch,Small Box,1133,Marjorie Owens,Home Office,Office Supplies,10332,Staples® General Use 3-Ring Binders,7/29/2015,88108,Medium,75234,Central,7/21/1966,7/29/2015,Regular Air,Texas,0.07,7,0.37,-10,13,1,2
Binders and Binder Accessories,Boston,Small Box,1129,Pam Patton,Home Office,Office Supplies,10332,Staples® General Use 3-Ring Binders,2/23/2016,44615,Medium,2118,East,4/9/1917,2/23/2016,Regular Air,Massachusetts,0.07,28,0.37,-10,54,1,2
Pens & Art Supplies,Coachella,Wrap Bag,593,Joel Huffman,Small Business,Office Supplies,10033,Colorific® Watercolor Pencils,2/8/2016,86315,Not Specified,92236,West,7/24/1955,2/8/2016,Regular Air,California,0.09,4,0.56,4,20,1,5
"Scissors, Rulers and Trimmers",Coachella,Wrap Bag,593,Joel Huffman,Small Business,Office Supplies,10147,"*Staples* vLetter Openers, 2/Pack",2/8/2016,86315,Not Specified,92236,West,7/25/1955,2/8/2016,Regular Air,California,0.04,1,0.83,-3,5,1,4
Paper,Tinton Falls,Wrap Bag,3247,Pamela Albright,Small Business,Office Supplies,10035,Spiral Phone Message Books with Labels by Adams,12/19/2015,88331,Not Specified,7701,East,7/11/1954,12/21/2015,Regular Air,New Jersey,0.08,4,0.36,7,18,1,4
Paper,Grand Island,Wrap Bag,387,Angela Howe,Corporate,Office Supplies,11242,"While you Were Out Message Book, One Form per Page",8/24/2015,90340,High,68801,Central,7/2/1955,8/24/2015,Regular Air,Nebraska,0.06,14,0.35,14,53,2,4
Paper,Germantown,Wrap Bag,3225,Robyn Crawford,Small Business,Office Supplies,10178,"Adams ""While You Were Out"" Message Pads",12/10/2015,86511,Critical,38138,South,8/12/1958,12/10/2015,Regular Air,Tennessee,0.03,12,0.4,-30,39,1,3
Tables,Santa Ana,Jumbo Box,542,Jim Shah,Home Office,Furniture,10839,Hon 61000 Series Interactive Training Tables,5/11/2013,88126,High,92704,West,8/7/1955,5/12/2014,Delivery Truck,California,0.03,12,0.67,-1053,440,47,44
Binders and Binder Accessories,Columbia,Small Box,2948,Jeanne Chandler,Consumer,Office Supplies,10498,Large Capacity Hanging Post Binders,7/12/2016,87512,Critical,38401,South,3/4/1950,7/15/2016,Regular Air,Tennessee,0.04,14,0.39,546,357,3,25
Paper,Forest Park,Wrap Bag,271,Sam Rouse,Home Office,Office Supplies,10279,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",8/14/2014,88943,Low,30297,South,6/20/1957,8/14/2014,Regular Air,Georgia,0.03,4,0.36,15,40,2,10
Binders and Binder Accessories,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Office Supplies,10988,Wilson Jones Turn Tabs Binder Tool for Ring Binders,8/16/2015,8000,Low,20012,East,12/20/1902,8/17/2015,Regular Air,District of Columbia,0.04,2,0.39,-8,20,5,5
Binders and Binder Accessories,Harrison,Small Box,1734,Christopher Meadows,Small Business,Office Supplies,11256,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",11/9/2015,88445,Low,10528,East,3/31/1952,11/9/2015,Regular Air,New York,0.08,5,0.39,-27,75,8,15
Binders and Binder Accessories,Harrison,Small Box,1734,Christopher Meadows,Small Business,Office Supplies,10988,Wilson Jones Turn Tabs Binder Tool for Ring Binders,11/9/2015,88445,Low,10528,East,4/1/1952,11/9/2015,Regular Air,New York,0.04,1,0.39,-8,10,5,5
Appliances,Irving,Small Box,308,Glen Caldwell,Small Business,Office Supplies,10687,Belkin Premiere Surge Master II 8-outlet surge protector,1/30/2016,21249,Low,75061,Central,1/10/1908,2/1/2016,Regular Air,Texas,0.02,40,0.56,299,1969,4,49
Telephones and Communication,Perry Hall,Small Box,305,Gayle Christian,Small Business,Technology,10095,StarTAC 8000,12/29/2015,87060,Low,21128,East,4/23/1957,12/29/2015,Regular Air,Maryland,0.03,3,0.6,-523,540,9,206
Appliances,Lake Oswego,Small Box,132,Ron Dillon,Corporate,Office Supplies,10500,Staples 4 Outlet Surge Protector,10/7/2015,90995,Critical,97035,West,6/4/1958,10/7/2015,Express Air,Oregon,0.1,17,0.58,-12,148,4,9
Office Furnishings,Eastpointe,Wrap Bag,2023,Dan George,Home Office,Furniture,10865,"Master Caster Door Stop, Brown",2/14/2016,90762,Low,48021,Central,11/10/1954,2/15/2016,Regular Air,Michigan,0.05,19,0.51,25,94,2,5
Pens & Art Supplies,Valley Stream,Wrap Bag,212,Milton Clarke,Consumer,Office Supplies,10410,Newell 312,9/17/2016,85970,Not Specified,11580,East,4/8/1967,9/19/2016,Regular Air,New York,0.03,6,0.55,11,37,1,6
Pens & Art Supplies,Gilroy,Small Pack,486,Tracey Gross,Corporate,Office Supplies,11152,Staples SlimLine Pencil Sharpener,2/14/2016,91064,High,95020,West,4/27/1965,2/15/2016,Regular Air,California,0.01,10,0.6,-39,123,6,12
Chairs & Chairmats,Eastpointe,Jumbo Drum,2023,Dan George,Home Office,Furniture,11097,"Global Leather Task Chair, Black",2/14/2016,90762,Low,48021,Central,11/9/1954,2/15/2016,Delivery Truck,Michigan,0.1,20,0.66,-822,1736,42,90
Tables,Los Banos,Jumbo Box,452,Leslie Rowland,Home Office,Furniture,10087,BPI Conference Tables,10/23/2014,86017,Low,93635,West,11/29/1959,10/23/2014,Delivery Truck,California,0.01,19,0.71,-1705,2839,80,146
Chairs & Chairmats,Southbury,Jumbo Drum,2409,Florence Wilder,Small Business,Furniture,10398,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,12/29/2015,85819,High,6488,East,10/22/1955,12/29/2015,Delivery Truck,Connecticut,0.09,3,0.77,-542,776,50,271
Paper,Oxford,Small Box,3241,Terri Link,Small Business,Office Supplies,10983,Southworth Structures Collection™,8/23/2016,88332,Critical,1540,East,9/28/1953,8/23/2016,Regular Air,Massachusetts,0.08,3,0.35,-16,23,5,7
Bookcases,Woodburn,Jumbo Box,2781,Kelly Byers,Corporate,Furniture,10718,Hon 4-Shelf Metal Bookcases,11/7/2014,87166,Low,97071,West,12/23/1962,11/7/2014,Delivery Truck,Oregon,0.01,10,0.6,227,1072,26,101
Paper,Muskego,Small Box,2681,Marc Bowles,Corporate,Office Supplies,11092,Xerox 217,7/23/2015,89385,Not Specified,53150,Central,11/27/1958,7/23/2015,Regular Air,Wisconsin,0,19,0.37,-152,137,8,6
Paper,Irving,Wrap Bag,2472,Ricky Sanders,Home Office,Office Supplies,10994,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",2/24/2016,86515,Critical,75061,Central,12/10/1966,2/24/2016,Regular Air,Texas,0.08,9,0.36,-31,70,6,8
Chairs & Chairmats,Nampa,Jumbo Drum,3108,Diana Schultz,Small Business,Furniture,10847,Bevis Steel Folding Chairs,10/14/2014,87329,Not Specified,83686,West,1/8/1950,10/14/2014,Delivery Truck,Idaho,0.08,12,0.57,-1132,1115,74,96
Telephones and Communication,Mint Hill,Small Box,228,Colleen Andrews,Small Business,Technology,11196,Item 11196,12/14/2015,88529,Low,28227,South,1/23/1956,12/14/2015,Regular Air,North Carolina,0.03,21,0.56,154,1215,9,66
Paper,Waynesboro,Small Box,2750,Allen Nash,Small Business,Office Supplies,10123,Xerox 1892,11/11/2016,91425,Not Specified,22980,South,8/30/1960,11/11/2016,Regular Air,Virginia,0.1,15,0.36,-167,534,13,39
Telephones and Communication,Chesapeake,Small Box,1875,Martin Kirk,Consumer,Technology,11199,TimeportP7382,10/28/2016,90900,Not Specified,23320,South,3/29/1965,10/28/2016,Regular Air,Virginia,0.08,22,0.56,-175,3792,9,206
Computer Peripherals,Atlanta,Small Box,2655,Benjamin Lam,Corporate,Technology,10693,US Robotics 56K V.92 External Faxmodem,2/9/2016,86066,High,30318,South,10/11/1961,2/9/2016,Regular Air,Georgia,0,20,0.52,46,2149,20,100
Bookcases,Waynesboro,Jumbo Box,2750,Allen Nash,Small Business,Furniture,10710,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",11/13/2015,91425,Not Specified,22980,South,8/29/1960,11/13/2015,Delivery Truck,Virginia,0.04,9,0,1,668,27,71
Envelopes,Moscow,Small Box,1730,Kerry Wilkerson,Small Business,Office Supplies,10403,Ames Color-File® Green Diamond Border X-ray Mailers,10/27/2015,90654,Not Specified,83843,West,6/7/1963,10/27/2015,Regular Air,Idaho,0.05,11,0.38,648,939,5,84
Computer Peripherals,Irving,Small Pack,1542,Janet Snow,Corporate,Technology,10676,Fuji 5.2GB DVD-RAM,1/4/2016,87785,Low,75061,Central,4/28/1950,1/4/2016,Regular Air,Texas,0.08,12,0.55,253,479,2,41
Copiers and Fax,Hammond,Large Box,1279,Josephine Rao,Corporate,Technology,11120,Sharp AL-1530CS Digital Copier,11/12/2015,90118,Not Specified,46324,Central,4/12/1962,12/7/2015,Regular Air,Indiana,0.08,10,0.36,-235,4692,24,500
Copiers and Fax,Seattle,Large Box,1280,Harold Albright,Corporate,Technology,11120,Sharp AL-1530CS Digital Copier,9/17/2015,33763,Not Specified,98119,West,12/30/1912,9/17/2015,Regular Air,Washington,0.08,42,0.36,-235,19706,24,500
Envelopes,Boston,Small Box,918,Kerry Jernigan,Corporate,Office Supplies,10853,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,8/1/2014,90494,Medium,2129,East,5/3/1960,8/1/2014,Express Air,Massachusetts,0.1,21,0.4,92,685,15,36
Chairs & Chairmats,Hudson,Jumbo Drum,2082,Kathryn Jenkins,Home Office,Furniture,11084,Global Troy™ Executive Leather Low-Back Tilter,9/4/2015,86094,High,44236,East,4/17/1965,9/4/2015,Delivery Truck,Ohio,0.05,18,0.6,4822,8567,26,501
Appliances,Oxford,Small Box,1311,Veronica O'Connor,Corporate,Office Supplies,10687,Belkin Premiere Surge Master II 8-outlet surge protector,9/19/2016,88954,Medium,1540,East,5/30/1951,9/19/2016,Regular Air,Massachusetts,0.04,7,0.56,138,328,4,49
Appliances,Philadelphia,Small Box,1313,Katherine Knight,Corporate,Office Supplies,10687,Belkin Premiere Surge Master II 8-outlet surge protector,8/23/2016,5543,Medium,19134,East,2/16/1902,8/23/2016,Regular Air,Pennsylvania,0.04,27,0.56,138,1266,4,49
"Scissors, Rulers and Trimmers",East Meadow,Wrap Bag,1312,Arlene Weber,Corporate,Office Supplies,10161,*Staples* Letter Opener,9/21/2015,88954,Medium,11554,East,6/1/1951,9/21/2015,Regular Air,New York,0.02,12,0.81,-115,30,5,2
"Scissors, Rulers and Trimmers",Philadelphia,Wrap Bag,1313,Katherine Knight,Corporate,Office Supplies,10161,*Staples* Letter Opener,8/25/2015,5543,Medium,19134,East,2/18/1902,8/25/2015,Regular Air,Pennsylvania,0.02,49,0.81,-115,122,5,2
Binders and Binder Accessories,Redlands,Small Box,920,Jessie Kelly,Corporate,Office Supplies,11101,Round Ring Binders,7/31/2015,90494,Medium,92374,West,5/4/1960,7/31/2015,Regular Air,California,0.03,20,0.38,-9,44,1,2
Binders and Binder Accessories,Cottage Grove,Small Box,2291,Maxine Joyner,Home Office,Office Supplies,10552,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,1/11/2016,88166,Critical,55016,Central,3/1/1969,1/11/2016,Regular Air,Minnesota,0.04,6,0.35,-9,48,5,8
Telephones and Communication,Irving,Medium Box,3134,Kara Wang,Corporate,Technology,10957,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,12/24/2015,86798,High,75061,Central,4/1/1971,12/24/2015,Regular Air,Texas,0.1,21,0.56,-71,474,9,29
Envelopes,Sugar Land,Small Box,686,Pamela Levin,Small Business,Office Supplies,10301,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",2/17/2016,89741,Low,77478,Central,7/6/1965,2/17/2016,Regular Air,Texas,0.08,1,0.35,-6,11,1,11
Copiers and Fax,Adrian,Large Box,3261,Steven Long,Consumer,Technology,10449,Canon imageCLASS 2200 Advanced Copier,9/23/2016,90297,Critical,49221,Central,6/17/1965,9/23/2016,Regular Air,Michigan,0.05,2,0.37,-486,6916,24,3500
Telephones and Communication,Thousand Oaks,Wrap Bag,1653,Charles Cline,Corporate,Technology,11091,Accessory21,2/15/2016,89888,High,91360,West,11/30/1964,2/15/2016,Regular Air,California,0.08,14,0.37,171,248,1,21
Binders and Binder Accessories,Fargo,Small Box,2911,Tom Conway,Home Office,Office Supplies,11036,Avery Durable Poly Binders,12/5/2016,87399,High,58103,Central,3/3/1957,12/5/2016,Regular Air,North Dakota,0.06,3,0.39,-72,18,7,6
Binders and Binder Accessories,Sugar Land,Small Box,686,Pamela Levin,Small Business,Office Supplies,10653,Wilson Jones Impact Binders,2/17/2016,89741,Low,77478,Central,7/5/1965,2/17/2016,Regular Air,Texas,0.04,10,0.36,-137,52,6,5
Telephones and Communication,Sugar Land,Small Box,686,Pamela Levin,Small Business,Technology,10723,Item 10723,2/17/2016,89741,Low,77478,Central,7/7/1965,2/17/2016,Regular Air,Texas,0.02,7,0.58,139,402,9,66
